SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
TB-6803,Reloj Watch 8 Pro Max,tb-6803.jpg,$180.00,$144.00,$127.00,$120.00,100,Smartwatch,0%
TR-6022,Audifono Bt,tr-6022.jpg,$82.00,$60.00,$52.00,$50.00,100,Audífonos / Bluetooth,0%
S75W30,Foco LED 30W Luz Fría ,s75w30.jpg,$42.00,$32.00,$28.50,$27.00,60,Iluminación / Focos / LED,0%
LV22W21,Lampara Con Ventilador De Techo,lv22w21.jpg,$138.00,$92.00,$83.00,$77.00,20,Hogar / Ventiladores,0%
TR-6018,Audifonos Inalámbricos con Pantalla,tr-6018.jpg,$65.00,$48.00,$43.00,$40.00,100,Audífonos / Bluetooth,0%
TXD-26,Rastrillo con 11 Repuestos Triple Hoja,txd-26.jpg,$40.00,$30.00,$26.00,$25.00,144,Salud y Belleza,0%
K-703,Juego De Cuchillos y Utensilios,k-703.jpg,$32.00,$21.00,$19.00,$18.00,100,Hogar / Cocina,0%
ZN-1622,SmartWatch T800 Ultra,zn-1622.jpg,$130.00,$90.00,$79.00,$70.00,100,Smartwatch,0%
MR-935,Masajeador Multifuncional Corporal,mr-935.jpg,$140.00,$93.00,$82.00,$78.00,100,Salud y Belleza,0%
TXD-17,Rastrillo con 6 Repuestos Triple Hoja y Mango Ergonómico,txd-17.jpg,$30.00,$20.00,$18.00,$17.00,144,Salud y Belleza,0%
P9PROMAX,Diadema Bluetooth P9 Promax,p9promax.jpf,$130.00,$86.00,$76.00,$72.00,80,Diademas / Bluetooth,0%
LV67W12,Ventilador de Techo con Lámpara 28w,lv67w12.jpg,$75.00,$64.00,$59.00,$55.00,60,Iluminación / Focos,0%
S58W30,Foco LED 30W 6500k 60Hz,s58w30.jpg,$49.00,$39.00,$35.00,$33.00,60,Iluminación / Focos / LED,0%
XCQ-3501,Mini Aspiradora,xcq-3501.jpg,$65.00,$55.00,$50.00,$48.00,80,Ventiladores,0%
FS-018,Ventilador Usb,fs-018.jpg,$28.00,$23.00,$20.00,$19.00,100,Ventiladores,0%
FS-021,Ventilador Usb,fs-021.jpg,$31.00,$25.00,$22.00,$21.00,150,Ventiladores,0%
FS-1105,Mini Ventilador Recargable,fs-1105.jpg,$37.00,$29.00,$26.00,$24.00,100,Ventiladores,0%
FS-4013,Ventilador Diseño,fs-4013.jpg,$43.00,$35.00,$31.00,$29.00,168,Ventiladores,0%
FS-0227,Ventilador Diseño Casa,fs-0227.jpg,$45.00,$36.00,$32.00,$30.00,160,Ventiladores,0%
FS-0210,Ventilador Recargable,fs-0210.jpg,$48.00,$38.00,$34.00,$32.00,120,Ventiladores,0%
FS-4014,Ventilador Diseño,fs-4014.jpg,$50.00,$40.00,$35.00,$33.00,144,Ventiladores,0%
FS-4016,Ventilador Usb Portátil Mini Ventilador De Mano,fs-4016.jpg,$57.00,$46.00,$40.00,$38.00,144,Ventiladores,0%
FS-0207,(FS-0207) Ventilador Recargable,fs-0207.jpg,$68.00,$54.00,$48.00,$45.00,144,Ventiladores,0%
FS-037,Ventilador,fs-037.jpg,$70.00,$56.00,$49.00,$47.00,144,Ventiladores,0%
FS-0222,Ventilador Diseño Astronauta,fs-0222.jpg,$72.00,$58.00,$51.00,$48.00,96,Ventiladores,0%
FS-0228,Ventilador Diseño,fs-0228.jpg,$72.00,$58.00,$51.00,$48.00,120,Ventiladores,0%
FS-1122,Ventilador Metálico,fs-1122.jpg,$73.00,$59.00,$52.00,$49.00,45,Ventiladores,0%
FS-1123,Ventilador Diseño,fs-1123.jpg,$81.00,$65.00,$57.00,$54.00,45,Ventiladores,0%
FS-0216,Ventilador Recargable,fs-0216.jpg,$87.00,$70.00,$61.00,$58.00,96,Ventiladores,0%
FS-0213,Ventilador Recargable,fs-0213.jpg,$90.00,$72.00,$64.00,$60.00,144,Ventiladores,0%
FS-4407,Ventilador Recargable,fs-4407.jpg,$100.00,$80.00,$71.00,$67.00,72,Ventiladores,0%
MVP-1012,Ventilador Portatil Con Bandeja Para Agua O Aromatizante Mitzu,mvp-1012.jpg,$117.00,$93.00,$82.00,$78.00,60,Ventiladores,0%
FS-0251,Mini Aire Acondicionado,fs-0251.jpg,$135.00,$108.00,$95.00,$90.00,24,Ventiladores,0%
AIRS25W07,"Ventilador de Piso Solar de 12""",airs25w07.jpg,"$1,120.00",$896.00,$791.00,$747.00,3,Ventiladores,0%
AIRS25W09,"Ventilador de Pedestal Piso Solar 16""",airs25w09.jpg,"$1,193.00",$955.00,$842.00,$796.00,3,Ventiladores,0%
ACC-20201,Transmisor Bluetooth ,acc-20201.jpg,$43.00,$31.00,$28.00,$26.00,200,Transmisores,0%
ACC-24110,Transmisor 3.5 para Auto,acc-24110.jpg,$25.00,$18.00,$16.00,$15.00,500,Transmisores,0%
ACC-20104,Transmisor para Auto Bluetooth,acc-20104.jpg,$63.00,$52.00,$48.00,$45.00,200.00,Transmisores,0%
ACC-20302,Transmisor de Auto Multientradas,acc-20302.jpg,$65.00,$56.00,$52.00,$48.00,200,Transmisores,0%
XO-8301,Transmisor Bluetooth de Coche ,xo-8301.jpg,$62.00,$46.00,$42.00,$38.00,200,Transmisores,0%
XO-8150,Transmisor Bt,xo-8150.jpg,$39.00,$31.00,$28.00,$26.00,200,Transmisores,0%
ACC-20500,Transmisor para Auto Bluetooth,acc-20500.jpg,$98.00,$78.00,$69.00,$65.00,200,Transmisores,0%
ACC-20101,Transmisor para Auto BT,acc-20101.jpg,$113.00,$90.00,$79.00,$75.00,100,Transmisores,0%
ACC-20102,Transmisor para Auto Bluetooth,acc-20102.jpg,$113.00,$90.00,$79.00,$75.00,100,Transmisores,0%
YSK-012,Llavero de Zapatos de Tacón,ysk-012.jpg,$4.00,$3.50,$3.00,$2.50,2400,Temporada,0%
XQ-201,Rosa Eterna Decorada de Espuma Artificial con Aroma,xq-201.jpg,$8.00,$6.00,$5.50,$5.00,620,Temporada,0%
XQ-232,Rosa Eterna con Detalle de Oso y Corazón,xq-232.jpg,$8.00,$6.50,$6.00,$5.50,500,Temporada,0%
XQ-233,Rosa Eterna con Detalle de Oso Corazón,xq-233.jpg,$9.00,$7.00,$6.50,$6.00,1200,Temporada,0%
XQ-S175,Bolsa de Regalo San Valentín de Papel Diseño Surtido,xq-s175.jpg,$10.00,$8.00,$7.50,$7.00,480,Temporada,0%
XQ-253,Rosa Eterna para Regalo,xq-253.jpg,$16.00,$13.00,$11.00,$10.50,520,Temporada,0%
XQ-237,Flor Eterna con Corazón de Unicel para Regalo,xq-237.jpg,$18.00,$15.00,$13.00,$12.00,300,Temporada,0%
XQ-252,Ramo de Rosas Eternas para Regalo,xq-252.jpg,$23.00,$19.00,$17.00,$16.00,370,Temporada,0%
XQ-257,Cajita de Aluminio con Rosa Eterna y Collar,xq-257.jpg,$24.00,$19.00,$17.00,$16.00,527,Temporada,0%
XQ-251,Ramo de Rosas Eternas para Regalo,xq-251.jpg,$26.00,$21.00,$18.00,$17.00,400,Temporada,0%
XQ-605,Caja de Regalo con Oso de Peluche,xq-605.jpg,$27.00,$21.00,$19.00,$18.00,192,Temporada,0%
QRJ-03,Globo con Rosa y Tira LED,qrj-03.jpg,$28.00,$22.00,$19.00,$18.00,300,Temporada,0%
XQ-606,Caja de Regalo de Rosas,xq-606.jpg,$33.00,$27.00,$24.00,$22.00,192,Temporada,0%
XQ-611,Cajita de Regalo con Pulsera y Rosas,xq-611.jpg,$42.00,$33.00,$29.00,$28.00,100,Temporada,0%
XQ-607,Cajita de Regalo con Ramo y Osito ,xq-607.jpg,$58.00,$47.00,$41.00,$39.00,120,Temporada,0%
